January	February	March	April	May	June	July	August	September	October	November	December
1090625.815	1157634.866	1299583.477	1137194.68	983083.453	820064.573	504284.512	165202.293	66901.96	187742.415	637056.954	926943.243
1104871.464	1215999.908	1284177.396	1221357.854	1027215.512	786642.935	515729.857	151312.871	46345.79	225418.557	590062.722	871816.642
1122447.922	1282707.945	1117472.461	1147369.831	1053485.477	771697.614	415502.457	109625.349	56034.229	137886.507	602163.22	885763.492
1080833.934	1403639.746	1487905.095	1345921.021	1208206.701	957789.207	517703.555	152082.08	87540.466	312541.391	745311.522	1160506.105
1569060.665	1655336.13	1720993.826	1631572.738	1312204.093	987350.863	677882.831	309552.543	149209.651	344933.504	791670.002	1122201.139
1603222.081	1755069.784	1658777.572	1537293.132	1347243.858	996202.58	563924.204	134489.401	55393.392	163411.389	563783.31	1110308.561
1390831.721	1423983.122	1564700.427	1364952.596	1171277.688	837841.722	306816.865	68561.857	45115.567	137115.77	545156.012	793270.105
1113676.131	1242596.725	1351280.259	1199855.43	973720.164	756117.379	529012.971	233901.159	59637.39	411209.376	783921.322	1091453.076
1274676.901	1360569.839	1324398.985	1351056.455	1134853.447	949169.148	568695.746	129895.363	44055.277	260647.999	625008.211	
	1366076.918	1312939.795	1175041.547	1076951.23	803407.949	414942.959	132837.456	29255.849	81893.244	533669.191	897364.191
1177539.498	1435873.83	1476706.252	1350062.696	1088475.683	898970.803	490864.201	159938.102	72553.815	247346.34	645815.305	922883.531
1332963.43	1582668.191	1651612.012	1474116.2	1278037.187	934228.212	458822.527	73659.62	54158.899	299956.851	708040.631	1027208.233
1449821.594	1623370.684	1531833.75	1446141.75	1263258.11	959250.053	506444.639	92316.386	51074.461	163407.048	620523.557	965804.3
1300478.692	1538394.433	1523032.045	1308045.528	1261165.447	923814.781	574321.257	191233.913	89872.52	132842.853	631935.889	1079252.854
1606297.161	1756053.362	1765671.942	1644829.842	1307261.587	918303.073	592613.333	210481.296	81662.57	207262.912	731858.025	1037603.396
1286078.018	1622912.076	1554972.985	1402416.558	1123012.929	797165.073	434635.527	94966.783	57974.067	230311.36	558208.628	928985.634
1211441.596	1366059.849	1457100.843	1293033.438	1010866.248	740410.827	481838.212	125508.208	74552.572	260107.66	561515.19	845006.154
1177261.538	1330728.156	1270649.384	1134315.132	986110.74	894986.696	651468.374	320891.316	158102.908	395199.822	686243.845	841002.972
1000471.585	1336538.742	1399927.954	1200823.195	1029911.064	810409.095	424527.902	93282.556	76128.317	293707.819	573343.361	779623.245
1078653.82	1255967.126	1266157.386	1201501.224	1034563.746	717050.384	377491.621	93646.42	58018.263	146786.937	495032.241	756314.757
1048506.333	1242103.874	1239820.187	1121428.609	1054405.924	809062.306	415286.242	150037.913	67911.329	177438.162	656351.051	842401.122
1126621.585	1325361.971	1370232.956	1177901.814	1029318.368	710058.918	319972.142	78964.613	61189.369	158749.65	493033.064	751416.044
1051303.681	1291381.09	1186554.072	1154749.908	1054611.359	743862.559	329769.193	75471.385	62133.179	132696.381	506896.338	766927.228
967592.695	1201885.908	1309453.354	1179201.635	972908.229	686018.074	313278.785	71722.999	49628.201	87035.031	356240.281	730506.028
940173.511	1207931.123	1314914.494	1211124.218	1007593.504	638805.307	203708.918	63340.311	44363.437	77947.646	420442.19	721858.318
893490.861	1023059.506	1130387.348	1094406.168	891048.898	653562.454	378647.463	103928.95	48170.28	84117.075	522372.734	795059.195
1109841.447	1234855.587	1094672.268	1025750.133	895401.557	665226.504	318822.634	64186.152	39580.589	161178.323	491216.96	712754.721
1005349.756	1130064.982	1034348.299	1030659.932	890289.132	602877.76	238748.098	64130.209	41670.818	80806.834	326681.854	731115.279
985434.113	1092859.294	1173655.855	1163264.427	1056644.559	758861.004	289330.035	65568.759	41446.227	119594.306	526919.646	862240.257
1263469.492	1455745.348	1515616.759	1298222.907	975030.271	663470.824	285349.279	46136.591	43285.98	141270.674	585458.944	868447.609
1081083.679	1250785.296	1401071.595	1300111.584	1097813.919	628269.68	250142.453	48535.623	39503.26	125412.946	563849.217	765507.323
907702.613	989257.482	1089005.234	1073885.497	918827.193	629160.968	260228.644	50833.07	53981.727	112302.622	355192.818	578744.245
714253.784	926922.35	1113395.887	1108538.962	930115.625	718664.559	198329.764	40570.134	33119.638	188327.94	548853.107	814597.06
1121970.33	1247969.324	1474412.656	1250628.591	1002600.67	593404.898	157572.634	41367.605	34127.215	70494.123	376700.698	748516.153
1036392.791	1191044.878	1131250.306	1094891.342	1029993.068	768792.536	212729.317	59193.487	60155.708	120046.277	493925.704	860597.694
1124545.717	1333595.196	1451836.781	1358578.724	1099288.456	681600.849	143103.371	34488.864	28131.311	112340.194	407880.677	803787.348
1167403.368	1310355.801	1470955.118	1380998.799	1069845.467	750602.526	389751.649	120162.764	68842.473	120247.646	618499.437	951812.232
1152230.664	1314934.297	1374704.447	1228190.627	934608.367	618845.868	261118.174	53354.628	35976.126	102079.337	425216.01	862702.403
1146485.945	1271744.538	1288981.285	1294661.988	1150645.134	725631.179	349957.82	94296.183	62659.24	157667.573	577663.961	768994.206
1035937.611	1354966.145	1261866.139	1179045.732	1094209.811	766008.906	362620.886	75836.307	54838.762	177594.153	655379.089	854772.635
1085831.652	1231033.403	1227701.428	1114652.675	934518.829	580336.889	170872.931	42329.056	24917.228	56171.358	276770.922	nan
