January	February	March	April	May	June	July	August	September	October	November	December
1107873.946	1211101.473	1215128.77	1233940.811	1193061.566	949447.691	412294.139	97077.557	10799.982	109962.103	377561.721	735381.129
931059.729	1003847.217	999506.376	950533.253	836337.598	681033.892	363662.433	94509.248	49859.013	223938.977	623931.246	916408.949
941792.085	893203.878	1096905.199	1163843.055	1157122.845	855617.85	383355.862	109316.621	39381.45	138589.64	354210.261	784661.611
1112524.237	1143216.714	1086472.393	1100111.917	906553.109	783321.978	465041.49	213504.039	186206.273	395022.691	613847.303	638915.192
697565.857	806046.028	798098.317	858860.744	729343.577	462480.023	153863.086	37173.095	7886.771	88320.572	477744.319	754093.9
746870.085	669337.192	807797.716	878639.992	637957.612	416970.372	91937.805	11893.801	2442.752	43023.334	263543.779	481346.517
752183.913	883535.262	813476.045	1013200.618	881575.619	605604.904	195391.832	44757.118	19400.344	110786.016	402748.299	701426.922
879798.735	932751.22	892772.133	965799.546	863866.443	599990.874	270008.882	63943.818	49959.693	200154.7	391234.605	685292.225
831425.209	1048902.996	1020191.857	1125478.342	930234.468	699475.903	351403.28	93711.479	62826.681	311074.358	484374.95	
	915492.207	929832.013	1000399.341	843653.139	548348.429	288757.098	123814.416	99204.563	355319.107	673910.609	827140.623
945265.19	956080.538	857880.425	782813.387	583212.42	549395.282	346158.255	166361.452	156508.042	283635.9	457087.192	671475.761
756770.948	748729.446	853281.045	707975.781	531535.416	395917.473	126067.687	64989.734	29126.129	96343.845	429451.589	613042.972
728761.514	712338.692	812927.419	812483.262	737129.442	488057.677	196309.15	70333.672	25676.161	205975.171	486556.481	571646.075
679091.321	768552.654	675511.457	746464.777	382053.105	343317.809	212945.496	75581.59	34901.905	280696.176	487757.147	601306.439
698181.397	746377.121	825528.798	893908.881	729936.636	543932.284	335120.273	159267.202	141896.568	331079.066	500023.373	610761.472
861478.488	933205.654	894415.765	888601.34	822891.35	491043.735	178042.899	34770.113	9715.305	187134.608	562963.183	612765.463
717392.245	700440.99	689707.654	488590.75	430914.85	347516.891	143666.911	28620.97	6134.97	92162.212	506111.644	688884.138
793060.824	927147.886	823662.507	838910.272	756316.592	520707.553	259511.382	57201.502	14883.908	150011.451	300882.28	538971.895
813548.455	966726.656	892378.01	1057838.592	827840.751	503492.216	283002.574	50861.941	13360.466	104351.372	481642.215	696617.061
861002.239	1039275.768	1077777.622	1142795.762	1048092.391	818718.596	375549.494	82598.473	78376.864	260000.668	626914.323	734542.55
881841.208	967374.538	937685.697	1028268.408	989287.564	687128.409	232496.836	98603.219	81958.89	174367.669	330594.235	503399.232
639043.178	709633.199	724029.247	750410.397	563173.334	356500.063	158362.572	9379.746	5256.609	39467.619	184354.351	426705.017
568452.202	721777.419	901532.624	895290.621	661321.45	376983.791	69245.349	15997.747	2493.077	41427.859	354509.163	455609.081
682975.2	823859.318	853403.702	767117.382	704349.584	451147.346	102279.625	36793.901	32633.577	205707.462	482335.6	665094.306
920670.932	933846.743	987205.622	947376.722	851911.266	672830.291	323383.097	109204.219	101603.911	202196.352	426018.259	671892.286
854114.046	902649.114	882021.58	830934.535	625290.761	418924.664	191961.439	26170.079	7548.921	81018.114	353862.647	466642.547
514647.525	520832.44	768600.229	799969.298	669512.748	334044.111	86487.076	6656.17	3412.599	107528.012	301938.031	336911.252
368151.707	554752.475	714923.451	591453.655	253388.118	136757.69	32009.793	6201.253	5472.25	148305.39	180516.809	264656.925
393594.233	633089.251	552625.027	501363.935	381482.52	272457.255	64386.091	20824.626	2606.194	35850.654	121206.668	284837.643
372748.525	437072.792	571360.98	587267.939	470347.609	327608.142	115937.396	42031.474	31058.298	107837.074	308402.014	408161.99
570815.983	626771.703	679328.634	758164.973	609051.912	281627.941	74406.323	45027.939	23204.726	42048.941	93222.729	340685.627
572469.431	667174.61	842659.096	856875.1	418901.843	165720.592	33864.256	4350.474	9858.423	27022.044	238730.394	546709.69
685116.705	777799.843	698124.244	687635.24	537779.726	261491.651	69821.683	11567.913	2039.894	30859.342	147293.644	278262.719
350425.982	391925.125	495512.933	530683.477	263566.949	94704.508	7637.677	3665.127	1356.188	21396.928	56450.46	248735.373
376070.241	521552.847	750382.586	709935.955	397863.634	145577.752	6220.516	4156.525	1496.554	30570.479	84422.264	339634.74
506248.657	484365.841	549865.6	618561.772	461965.178	209027.101	72409.758	99982.801	98312.251	183783.207	403570.105	458475.037
618765.097	722460.447	560507.722	426644.459	359569.01	224213.875	90534.637	13180.115	1742.431	25408.97	64105.81	188477.12
385483.351	379798.936	401870.542	373173.126	188528.719	67218.37	6348.148	4946.548	1624.47	19135.744	43942.011	156881.609
294670.077	445048.537	545936.511	547939.236	483275.819	227461.896	75784.785	21670.393	1269.073	38779.41	113114.077	198233.788
320822.22	462342.659	662322.479	730655.843	460286.928	167633.361	29531.587	4807.076	1979.706	19418.387	89673.005	171032.546
411968.866	591515.631	733148.284	581163.217	441634.099	263836.975	114584.976	44891.473	13006.81	48266.261	235660.238	nan
