January	February	March	April	May	June	July	August	September	October	November	December
1303711.475	1303711.475	1303711.475	1303711.475	1303067.999	1301380.461	1298781.016	1229206.807	1198049.707	1267656.479	1303542.942	1303669.483
1303711.475	1303711.475	1303711.475	1303711.475	1303668.51	1294736.34	1279619.033	1149508.502	1090414.684	1269087.631	1303711.475	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1302311.711	1299110.162	1239639.759	1009481.226	930389.602	1224919.672	1303130.099	1303711.475
1303711.475	1303711.475	1303711.475	1303668.458	1303368.955	1293063.199	1293233.588	1197767.79	1030132.905	1241420.023	1302257.7	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1302584.622	1301507.212	1289228.261	1170682.158	1077926.761	1301064.553	1303711.475	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1301221.739	1295881.094	1193336.046	1078289.272	1263375.271	1299003.459	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1301628.569	1277328.727	1183087.522	1136506.84	1295486.793	1303668.964	1303669.397
1303711.475	1303711.475	1303711.475	1303711.475	1303268.604	1280144.183	1232062.517	1094495.823	1140265.588	1298798.14	1303711.475	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1299792.81	1267407.581	977897.811	1067918.688	1283297.466	1303711.475	
	1303711.475	1303711.475	1303711.475	1303711.475	1303500.475	1277632.318	1121362.79	1003619.789	1244646.241	1303711.475	1303691.097
1303711.475	1303688.969	1303711.475	1303711.475	1303711.475	1300732.027	1182203.207	823231.113	630223.787	1083566.782	1303690.708	1303691.378
1303690.946	1303711.475	1303670.032	1303711.475	1233828.408	1118197.717	884493.784	453581.516	444878.031	981438.19	1302272.181	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1301150.506	1291724.71	1174331.932	820922.186	642414.537	1087286.682	1299372.587	1303690.852
1303711.475	1303711.475	1303691.247	1303711.475	1303711.475	1302176.554	1100284.288	810551.866	847736.524	1218261.988	1303711.475	1303711.475
1303690.988	1303711.475	1303690.721	1303711.475	1301323.351	1298978.477	1059609.518	694746.791	566611.049	1188181.031	1301703.621	1303670.652
1303690.765	1303711.475	1303711.475	1303711.475	1303711.475	1303369.162	1300893.308	1161624.863	1062017.024	1287786.5	1303711.475	1303711.475
1303711.475	1303711.475	1303711.475	1303690.085	1303691.215	1299495.003	1260462.075	907452.229	711936.236	1041787.36	1287773.02	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1297714.585	1222158.122	1138747.251	1262178.986	1300566.356	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1303359.444	1253122.621	1044411.875	983538.992	1240454.347	1301165.641	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1295723.687	1188844.53	1083834.875	1281378.921	1298276.052	1303711.475
1303690.564	1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1293421.403	1064457.526	891408.449	1200298.868	1303358.325	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1303603.966	1228398.36	1039254.159	889845.298	1206939.345	1303649.073	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1269330.147	1107958.664	1028859.477	1283578.382	1303711.475	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1299013.987	1137351.819	735557.916	659374.069	998018.885	1300241.225	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1302537.712	1201948.276	704018.915	484665.157	923618.421	1299439.297	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1303625.726	1283272.685	906440.983	628170.832	1104317.298	1298030.833	1303468.327
1303711.475	1303711.475	1303690.871	1303711.475	1303610.528	1284031.512	1150413.15	639618.605	447112.392	664445.572	1288809.434	1303711.475
1303711.475	1303666.327	1303690.914	1303711.475	1303650.116	1303328.778	1230848.535	838949.719	530311.713	920226.752	1290619.642	1303609.707
1303711.475	1303711.475	1303711.475	1303711.475	1303399.302	1268031.069	880870.576	104082.562	5007.246	201043.355	1190426.777	1268989.527
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1303626.224	1250151.136	646836.665	185305.271	862963.876	1303544.037	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1301158.2	1116668.094	667817.346	473093.875	975127.914	1282916.158	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303690.642	1302434.919	1200895.816	789598.909	434994.33	859289.356	1286174.556	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1293662.255	1075417.042	740429.611	484626.028	819213.476	1289708.874	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1293898.242	1124672.588	366524.851	42789.427	685044.229	1303711.475	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1303539.667	1206027.217	835263.81	667990.776	1183608.842	1303253.608	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1294803.584	1257329.43	1171691.371	729038.444	527873.165	759141.891	1193001.219	1296868.472
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1303482.303	1013369.609	538481.622	333560.9	774908.247	1245843.677	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1303045.562	1087819.496	509745.473	289250.899	630809.762	1169959.795	1303711.475
1303711.475	1303711.475	1303711.475	1303711.475	1292560.331	1238029.944	869934.137	496704.94	379756.179	785978.774	1240146.953	1297119.263
1303711.475	1303711.475	1303711.475	1303711.475	1303378.25	1299576.736	1218765.391	819814.805	403907.147	568514.871	1275584.003	1303388.589
1303711.475	1303711.475	1303711.475	1303711.475	1303711.475	1297916.643	1043765.002	306999.225	124439.987	410755.939	1243601.989	nan
