January	February	March	April	May	June	July	August	September	October	November	December
1076123.146	1099248.063	1036964.901	958927.937	823812.694	732932.104	525597.053	326246.338	274046.952	390471.715	517974.516	649059.169
808295.026	952327.591	948085.65	880688.901	746582.112	665813.937	525743.756	395567.798	395677.655	515636.474	719283.417	920311.349
1019178.887	954012.155	942886.555	904614.352	928662.56	868022.705	712216.474	521332.773	394359.013	577079.067	713551.545	968958.346
1105396.62	1076458.06	1018395.266	1009477.805	860546.493	759931.404	659413.376	419844.75	437137.663	516959.221	637177.992	798920.928
808830.324	965938.302	953258.656	839742.776	762641.522	686416.962	522538.867	390816.543	389657.772	499033.51	666804.663	775227.192
697391.695	691007.711	790589.426	717948.311	732095.634	690305.531	539106.583	311362.417	287755.567	431073.718	563290.345	565246.279
689548.657	805579.887	872985.673	977487.755	819949.489	695742.741	422493.782	182621.722	174756.773	420962.73	585572.939	844260.057
985781.573	1026059.295	1010596.456	1060325.904	857763.61	720355.818	550128.46	314531.933	300850.445	456986.386	569588.953	661694.861
835072.991	996458.836	980249.462	851108.339	821982.929	740030.72	542545.68	448224.244	421269.443	543454.236	729894.5	
	962019.828	1082179.764	1058924.344	889804.669	767060.775	550822.441	384217.674	377878.413	552899.076	760243.886	1066550.296
1070865.26	1022068.839	1044157.019	884940.884	820891.16	841799.447	682718.169	481687.682	441875.988	516127.349	674006.526	937317.104
858755.613	776140.601	881741.359	867750.231	821753.532	749352.491	549156.041	333613.334	195903.864	435146.499	597848.088	694515.116
681715.48	789728.752	843301.738	813158.958	736636.458	674895.788	457481.872	234218.73	200595.556	412286.327	580747.651	703260.636
840950.456	876087.834	864785.352	879710.995	798850.516	800334.228	641664.23	480767.332	436692.543	527992.768	600747.945	644896.561
771364.816	860701.759	803708.673	741577.122	738905.755	717114.658	600236.137	434072.049	410280.724	525429.799	578570.999	657039.103
666189.443	696277.702	740923.525	693923.363	692719.226	642773.551	520113.655	411151.099	405828.046	558534.756	682916.823	679047.426
700805.287	754724.917	767533.504	813411.819	845574.369	779581.223	568188.651	462548.348	449240.514	491230.115	662511.215	781656.109
828992.371	876163.605	892427.862	909078.67	907720.007	743693.42	539970.862	241809.098	217824.31	391621.824	575070.254	916437.894
1110270.286	1036838.85	968089.453	905683.963	847816.12	762993.302	597093.932	429593.395	372563.273	476375.541	695963.247	839285.07
955728.208	919041.851	855346.827	822818.946	764951.046	745200.194	596445.779	426288.508	351664.499	464159.599	539329.442	643538.149
684846.823	680748.358	665310.356	704325.338	647921.809	557339.281	394844.23	317433.431	330355.756	451872.435	549725.162	619151.347
650953.665	698569.329	702578.476	787923.325	763507.623	717798.59	586687.474	383829.987	325673.845	427704.247	542924.568	674504.806
814386.927	826211.183	907282.8	903030.126	815072.645	713772.795	461828.39	239026.388	159519.897	343303.061	541447.358	638605.621
760791.277	779215.727	836959.676	755638.769	700560.828	631306.082	358804.902	105254.796	127495.622	275273.737	459082.391	550174.522
701231.98	645579.59	741135.442	726164.151	722646.488	630510.072	437067.47	174749.531	136869.146	377204.556	470781.344	657658.331
720512.905	834078.55	824356.89	651984.727	586040.739	563598.196	388399.837	145659.278	137534.009	308800.567	462702.432	565347.475
612374.118	704721.165	785004.567	735466.359	692998.995	661116.901	484501.109	317250.214	335124.03	483943.209	585549.619	633641.14
628015.142	686723.662	731304.146	678936.905	623967.945	618390.486	454677.884	263314.815	291639.306	458712.717	550454.735	603898.247
668808.087	707998.53	704537.66	760470.996	716711.766	687942.093	491805.443	366845.272	400801.737	501594.726	588153.479	661329.568
713646.759	751512.282	724669.918	771167.377	747743.972	672339.378	451216.116	278644.566	219864.199	404614.958	542765.135	604233.685
705554.648	726804.035	753469.218	740066.771	679635.832	599938.063	394635.742	308048.716	313631.494	449378.343	539470.751	578167.543
680580.118	705786.706	759193.927	737014.893	680831.232	582843.456	403093.844	249692.602	259115.359	376462.884	516679.453	644523.541
697114.683	668140.3	747302.768	713996.22	682933.108	662758.004	559862.275	381342.238	326028.817	402198.925	526019.73	624569.516
605922.911	700007.557	686603.049	753601.714	769865.403	741324.738	507555.646	335977.06	307107.619	461869.855	537144.319	618149.941
652275.842	713736.478	731137.742	786715.73	705176.171	654765.636	344278.872	200871.864	178763.767	340153.356	558485.706	653769.424
622739.69	635281.838	670543.86	717491.645	718615.653	626606.608	410875.812	261215.449	256992.463	407309.01	526440.785	591826.853
612937.501	694977.476	676481.444	688619.011	680631.453	647054.732	499611.651	269580.29	277698.029	402331.417	506753.169	545297.684
593545.927	585281.293	618990.227	661692.729	572962.008	476198.412	321969.253	225012.717	245033.773	367396.004	429659.977	507705.868
592988.961	623977.789	718267.15	768265.491	740368.564	649311.46	461124.235	186904.983	135516.217	230319.832	405386.27	534864.513
553006.214	530590.185	580453.286	604767.236	500993.628	410520.611	308770.645	148279.132	159467.74	364946.192	446234.009	551288.492
617579.021	627929.752	671989.493	706341.808	654844.077	601882.531	428145.298	282619.979	207091.342	379221.73	540119.146	nan
